title,price,taste,brand,description,spirit_style,state
Berrys' North British Single Grain 18 yr,129.99, Rich . Apricot . Nut . Balanced ,Berrys'," Lowlands, Scotland - This 18 year old Single Grain Whisky has been matured in refilled sherry butts. This influence is readily picked up on the nose with some marmalade notes, dried fruit and nut shells. The palate offers rich bursts of fruity sweetness with backgound coffee. ",Single Malt,Lowland
Berrys' Speyside 19yr,109.99, Intense . Fruit . Spice . Smoke . Complex ,Berrys'," Speyside, Scotland - Bright apple aromas mingle with fruit salad and a delicate background peaty note. The creamy palate bursts with clean fruitiness and broadens to release some smokiness which lingers long into the spicy finish ",Single Malt,Speyside
Berrys' Strathisla 23yr Single Malt Scotch Whisky,129.99, Rich . Fruit . Nut . Balanced ,Berrys'," Speyside, Scotland - Strathisla is located in the Speyside town of Keith and is the oldest running whisky distillery in the Speyside section of the Highlands. This whisky is bottled from a rare cask reserve having been specially selected by their cask master. ",Single Malt,Speyside
Berrys' Strathmill 23 Yr,169.99, Light . Floral . Balanced ,Berrys'," Speyside, Scotland - Light-bodied and with a sweet, fruity taste. This Speyside malt uses water from local springs and rivers to produce a fresh and smooth whisky. Spicy and complex with a long, dry finish. ",Single Malt,Speyside
Berrys' Tormore 21 Yr,129.99, Rich . Fruit . Creamy . Oak . Balanced ,Berrys'," Speyside, Scotland - The nose on this 22 year old single malt gives plenty of ripe tropical fruits. It is integrated and well-rounded with some tannins and licorice to add extra dimension. The palate is fruity and creamy finishing with some balancing oak. ",Single Malt,Speyside
Big Peat Christmas Edition,109.99,None,Big Peat," Scotland- Opens fresh, salty and clean with a damp earthy character. Ashes, sweet tar, beaches and smoking chimneys on the palate with a long, lingering finish that replicated the palate with salty, tangy licorice, smoke and bonfire ash. Enjoy! ",Blended Scotch,
Big Peat Vatted Malt,78.99, Rich . Peat . Smoke . Long ,Big Peat," Islay, Scotland- A vatted malt that brings traditional flavors of Isay. Peat, smoke, cinder, brine, earth and seaweed flavors dominate underlying toffee and dark chocolate. ",Single Malt,
Black Bottle Whisky,29.99,None,Black Bottle," Scotland- A rich, golden blended scotch with wafts of freshness, fruit and subtle hints of peat. This slightly sweet, full-bodied, pleasantly smoky scotch lingers to a warm finish that is perfect on the rocks. Enjoy! ",Blended Scotch,
Black Bull 12 Yr Scotch,61.99,None,Black Bull," Scotland- Full nose of vanilla and chocolate with a light touch of citrus. Body is very smooth and rich, carrying fruit notes that are smothered with chocolate. Finishes creamy and smooth. ",Blended Scotch,
Black Scott 12 Yr Blended Scotch,35.99,None,Black Scott," Highland, Scotland - BlackScott 12 Year Old is a whisky to savor with a unique depth of character and flavor reflecting the style and elegance of Scotland's finest whiskies. ",Blended Scotch,
Black Scott Blended Scotch Whisky,26.99,None,Black Scott,,Blended Scotch,
Bladnoch Pure Scot Blended Scotch,39.99,None,Bladnoch," Scotland- Pure Scot is no ordinary blend, minimum 8 year old Bladnoch single malt plus rare and aged malts from Islay, Highlands and Speyside regions. Lovely texture, soft smooth and lightly spicy, with a long lasting sweet oaky, honeyed refreshing character. ",Single Malt,Lowland
Bladnoch Samsara Single Malt,89.99,None,Bladnoch," Scotland- This Lowland Single Malt Scotch Whisky is luscious, full bodied and fragrant with a rich, lingering core. On the palate is a sweet wine start, then drying slightly before more plums and vanilla flavors, citrus and a malty core. Nicely structured with a mellow lingering tail. ",Single Malt,Lowland
Bladnoch Scotch Adela 15yr,119.99,None,Bladnoch," Scotland- Lovely, rich Oloroso cherry aromas, raisins, a whiff of walnut and toffee pudding with a hint of chocolate. On the palate, sweet, rich sherry flavors with some dark chocolate, coffee and dried fruit with a hint of liquorice and pepper. ",Single Malt,
Bladnoch Talia Single Malt,449.99, Medium . Sherry . Wood . Balanced ,Bladnoch," Scotland- 25 Yr Lowland Single Malt is brought together using a blend of three different woods -Bourbon, Sherry and Whisky - and finally finished in brand new American Oak. Non-chill filtered, naturally colored and using water from the River Bladnoch. ",Single Malt,Lowland
Blair Athol Single Malt Scotch 23Y,499.99, Intense . Spice . Nut . Fruit . Complex ,Blair Athol," Scotland- Characterized by Blair Athol's signature nutty, spicy character, this cask-strength single malt is full of candied peel, baked apples, chocolate and fruit-cake flavors. ",Single Malt,
Blue Hanger 7th Edition,109.99,None,Blue Hanger, Scotland - This whisky finds classic leather and peat on the nose with hints of the fragrant Scottish hillside after a good rainstorm. A silky texture on the palate has you tasting everything from salty smoke to tropical fruits. ,Blended Scotch,
Bowmore 12 Yr,43.99, Rich . Peat . Salt . Long ,Bowmore," Wine Enthusiast -Islay, Scotland- ""The unabashedly briny opening bouquet is all peat, sea salt and salted focaccia; time in the glass serves to bring out a refined Sherry scent. In the mouth, it’s lean, surprisingly sweet and acutely resiny. Ends pine-like, resiny, moderately salty, fruity."" ",Single Malt,Islay & Islands
Bowmore 18 Yr,129.99, Rich . Medicinal . Peat . Balanced ,Bowmore," Islay, Scotland- Mellow mahogany, in classic Bowmore smokiness, perfectly tempered with caramel, chocolate and fruit aromas. Fruit and chocolate balanced with a light smokiness- incredibly complex. Best in Show Whisky"" at the San Francisco Spirits Competition and Double Gold medal. ",Single Malt,Islay & Islands
Bowmore 23 Yr Port Cask,659.99, Rich . Plum . Orange . Smoke . Balanced ,Bowmore," Islay, Scotland- A 23 year old malt from Bowmore Distillery aged in port casks. Aromas of plums and oranges with subtle smoke. The palate develops more peat and provides a dry and delicious finish. ",Single Malt,Islay & Islands
Bowmore 25 Yr,349.99, Rich . Peat . Balanced ,Bowmore," Wine Enthusiast -Islay, Scotland- ""Sniffings are briny, salty and cotton candy sweet; aeration adds scents of pastry, baked pear and butterscotch. Palate entry is rich, almost jammy and peppered with salty/winey flavors; midpalate explodes with deep tastes of maple, honey, brown sugar and toffee."" ",Single Malt,
Bowmore Darkest 15 Yr,64.99, Intense . Smoke . Cedar . Toffee . Long ,Bowmore," Islay, Scotland- Burnt Sienna in color with Dark chocolate and raisin aromas that compliment the classic Bowmore smokiness. Wonderful cedar wood and rich treacle toffee flavors and a robust and warming finish. ",Single Malt,Islay & Islands
Bowmore Dorus Mor 10 Year,83.99,None,Bowmore," Islay, Scotland- Robust notes of earthy smoke and salty tang, which are followed by more tame hints of citrus, lemon and oranges. Touches of milk chocolate and almond lead a to a slightly fruity yet still smoky finish. Enjoy neat. ",Single Malt,
Bowmore Mizunara Cask Finish,929.99, Intense . Spice . Vanilla . Cedar . Complex ,Bowmore," Islay, Scotland - On the eye warm amber. Breathe in spicy, mellow sweetness carried on a fresh ocean breeze. Sip sweet vanilla, cedar wood, exotic mango and honey rose blossom. Savor floral spice and fragrant smoke. Enjoy! ",Single Malt,Islay & Islands
Bowmore Small Batch,49.99,None,Bowmore," Islay, Scotland - Aromas of vanilla fudge, sea air and peat smoke, balanced beautifully by honeycomb and cinnamon spice. The palate features watering citrus, gentle saltiness and vanilla with flakes of coconut. Savor the wispy smoke, bourbon vanilla and lime finish. Enjoy on the rocks! ",Single Malt,Islay & Islands
Bowmore Vinter's Trilogy 26Yr,549.99, Rich . Chocolate . Tropical . Balanced ,Bowmore," Scotland- The Vintner's Trilogy from Bowmore showcases the impact of lengthy wine-cask finishes on the terrific Islay single malt. The 26 year old expression began its maturation in ex-bourbon barrels for 13 years, before being moved over to French oak barriques. ",Single Malt,
Brenne French Single Malt 10 Yr Whisky,89.99,None,Brenne," France- Brenne Ten is made from organically-grown barley. Four single barrels were blended together to create this light bodied and flavor packed whisky. Aromas of ripe fruits with a touch of honey and chocolate. Notes of red berries with brown sugar, vanilla, and oak on the finish. ",Single Malt,
Brenne French Single Malt Whisky,48.99, Light . Vanilla . Caramel . Mild ,Brenne," France - Distilled from 100% estate grown organic barley by 3rd generation Cognac maker in the heart of Cognac, France. Only Single Malt in the world aged in new French Limousin and Cognac barrels. Winner of ""Best Single Malt Whiskey"" by Whiskey Magazine's world whiskey awards 2017. ",Single Malt,
Brora 34 Yr,1899.99,None,Brora,,Single Malt,
Brora 35 Yr,2199.99, Rich . Fruit . Apple . Citrus . Balanced ,Brora," Highlands, Scotland- The whisky attacks the palate with buttery sweetness, bright fruit, apples, citrus, and a bit of banana. It then mellows out as the woodier, more maritime notes take hold. ",Single Malt,
Brora 37 Yr,2199.99, Rich . Fruit . Apricot . Smoke . Balanced ,Brora,,Single Malt,
Brora 38 Yr,2099.99, Intense . Salt . Smoke . Peat . Long ,Brora," Scotland- Fifteenth of a limited series of annual releases. A superb, well-balanced single malt; robust, with breezy maritime notes on the nose, retaining distillery character even at this advanced age with more smoke, ash and peat than recent expressions. ",Single Malt,
Bruichladdich 15/16 Yr,139.99, Delicate . Oak . Medicinal . Peat . Long ,Bruichladdich," Islay, Scotland- Master Distiller Jim McEwan produces this all natural, hand-crafted, traditional Single Malt. Lashings of oak and a sprinkle of sea spray remind you of its years maturing by the ocean. Full of style and sophistication, this is Islay without the hammer. ",Single Malt,Islay & Islands
Bruichladdich Bere Barley 2008,99.99,None,Bruichladdich," Islay, Scotland- Bruichladdich Bere Barley is made with Bere barley, which has a much lower yield than other varieties. The barley was actually harvested on Orkney, to make this light, sweet, refined expression. Notes of honeysuckle and fresh tart and vanilla. Finish is clean. ",Single Malt,Islay & Islands
Bruichladdich Black Art Single Malt Scotch,389.99, Delicate . Peach . Apricot . Oak . Balanced ,Bruichladdich," Islay, Scotland- This fourth incarnation of the now legendary Black Art is as enigmatic as ever, the composition of casks a mystery to all but its creator. Working with the very finest American and French oak to explore that most esoteric relationship between spirit and wood. ",Single Malt,
Bruichladdich Islay Barley,52.99,None,Bruichladdich," Islay, Scotland- Islay Barley 2007, produced solely using barley grown on Rockside farm in Islay, has aromas of earth, cereal, and butterscotch, giving way to honey, citrus, and sea salt. ",Single Malt,
Bruichladdich Octomore 6.1,179.99,None,Octomore," Islay, Scotland- When you taste it you wonder how such a heavily peated spirit, can provide the extraordinary balance of aromas and flavours with the finish of a very long and winding road of mellowness, ending on a beautiful sunset of smoke and fruit syrup. ",Single Malt,
Bruichladdich Octomore 6.3,159.99,None,Bruichladdich," Islay, Scotland - When the heat of the peat fires cool, there is a denotation of soft red grapes, cherries, Russian toffee, bitter chocolate, maple syrup and mellow oak. It is a taste like no other, a whisky cut loose, unhindered, unchanged. Enjoy. ",Single Malt,Islay & Islands
Bruichladdich Octomore 7.1 Edition,149.99,None,Bruichladdich," Islay, Scotland- This whisky started with the idea to distill the most heavily-peated barley humanly possible in tall, narrow-necked bruichladdich stills. As the world's most heavily-peated single malt, this whisky challenges comfortable convention. Aged five years in American oak. ",Single Malt,Islay & Islands
Bruichladdich Octomore 7.3,189.99,None,Bruichladdich," Islay, Scotland - The nose opens with the unmistakable hit of peat smoke followed by ozone and salt spray, then lemon cake. The texture is a striking testament to the distiller's art, rich and satin smooth. The finish has peat smoke and salt spray powerful yet gentle and complex ",Single Malt,Islay & Islands
Bruichladdich Octomore 8.1,149.99,None,Bruichladdich," Scotland- The world's most heavily peated whisky series, Octomore is an illustration of the art of Bruichladdich's Head Distiller. The .8 Octomore series is made using 100% Scottish barley and matured in Virgin Oak, a first for Octomore. ",Single Malt,
